nivel,intento,funcion,t,x,y,pendiente
1,1,0.25x,0.016,0.096,0.024,0.25
1,1,0.25x,0.033,0.198,0.05,0.25
1,1,0.25x,0.05,0.3,0.075,0.25
1,1,0.25x,0.067,0.402,0.101,0.25
1,1,0.25x,0.083,0.498,0.124,0.25
1,1,0.25x,0.099,0.594,0.149,0.25
1,1,0.25x,0.116,0.696,0.174,0.25
1,1,0.25x,0.133,0.798,0.2,0.25
1,1,0.25x,0.15,0.9,0.225,0.25
1,1,0.25x,0.167,1.002,0.251,0.25
1,1,0.25x,0.184,1.104,0.276,0.25
1,1,0.25x,0.201,1.206,0.302,0.25
1,1,0.25x,0.218,1.308,0.327,0.25
1,1,0.25x,0.234,1.404,0.351,0.25
1,1,0.25x,0.251,1.506,0.377,0.25
1,1,0.25x,0.281,1.686,0.422,0.25
1,1,0.25x,0.298,1.788,0.447,0.25
1,1,0.25x,0.315,1.89,0.473,0.25
1,1,0.25x,0.332,1.992,0.498,0.25
1,1,0.25x,0.35,2.1,0.525,0.25
1,1,0.25x,0.367,2.202,0.551,0.25
1,1,0.25x,0.384,2.304,0.576,0.25
1,1,0.25x,0.4,2.4,0.6,0.25
1,1,0.25x,0.416,2.496,0.624,0.25
1,1,0.25x,0.433,2.598,0.65,0.25
1,1,0.25x,0.449,2.694,0.674,0.25
1,1,0.25x,0.465,2.79,0.698,0.25
1,1,0.25x,0.482,2.892,0.723,0.25
1,1,0.25x,0.499,2.994,0.749,0.25
1,1,0.25x,0.516,3.096,0.774,0.25
1,1,0.25x,0.532,3.192,0.798,0.25
1,1,0.25x,0.549,3.294,0.824,0.25
1,1,0.25x,0.566,3.396,0.849,0.25
1,1,0.25x,0.582,3.492,0.873,0.25
1,1,0.25x,0.599,3.594,0.899,0.25
1,1,0.25x,0.616,3.696,0.924,0.25
1,1,0.25x,0.632,3.792,0.948,0.25
1,1,0.25x,0.648,3.888,0.972,0.25
1,1,0.25x,0.665,3.99,0.998,0.25
1,1,0.25x,0.681,4.086,1.022,0.25
1,1,0.25x,0.698,4.188,1.047,0.25
1,1,0.25x,0.716,4.296,1.074,0.25
1,1,0.25x,0.732,4.392,1.098,0.25
1,1,0.25x,0.748,4.488,1.122,0.25
1,1,0.25x,0.764,4.584,1.146,0.25
1,1,0.25x,0.78,4.68,1.17,0.25
1,1,0.25x,0.796,4.776,1.194,0.25
1,1,0.25x,0.812,4.872,1.218,0.25
1,1,0.25x,0.828,4.968,1.242,0.25
1,1,0.25x,0.845,5.07,1.268,0.25
1,1,0.25x,0.861,5.166,1.292,0.25
